구분,원분류,비교축
배출(중계열),경영ㆍ경제,경영·사무·금융·영업
배출(중계열),사회과학,경영·사무·금융·영업
배출(중계열),법률,경영·사무·금융·영업
배출(중계열),산업,경영·사무·금융·영업
배출(중계열),컴퓨터ㆍ통신,IT·정보통신
배출(중계열),기계ㆍ금속,공학·기술·생산
배출(중계열),전기ㆍ전자,공학·기술·생산
배출(중계열),소재ㆍ재료,공학·기술·생산
배출(중계열),정밀ㆍ에너지,공학·기술·생산
배출(중계열),수학ㆍ물리ㆍ천문ㆍ지리,공학·기술·생산
배출(중계열),화공,공학·기술·생산
배출(중계열),생활과학,공학·기술·생산
배출(중계열),생물ㆍ화학ㆍ환경,공학·기술·생산
배출(중계열),건축,공학·기술·생산
배출(중계열),토목ㆍ도시,공학·기술·생산
배출(중계열),간호,보건·의료
배출(중계열),치료ㆍ보건,보건·의료
배출(중계열),의료,보건·의료
배출(중계열),약학,보건·의료
배출(중계열),교육일반,교육·복지·공공
배출(중계열),유아교육,교육·복지·공공
배출(중계열),초등교육,교육·복지·공공
배출(중계열),중등교육,교육·복지·공공
배출(중계열),특수교육,교육·복지·공공
배출(중계열),디자인,예술·디자인·스포츠
배출(중계열),응용예술,예술·디자인·스포츠
배출(중계열),미술ㆍ조형,예술·디자인·스포츠
배출(중계열),연극ㆍ영화,예술·디자인·스포츠
배출(중계열),음악,예술·디자인·스포츠
배출(중계열),무용ㆍ체육,예술·디자인·스포츠
배출(중계열),교통ㆍ운송,운송·물류
배출(중계열),농림ㆍ수산,농림수산
배출(중계열),언어ㆍ문학,(대응 직종 없음)
배출(중계열),인문과학,(대응 직종 없음)
배출(중계열),기타,(대응 직종 없음)
수요(직종13분류),01,경영·사무·금융·영업
수요(직종13분류),07,경영·사무·금융·영업
수요(직종13분류),13,IT·정보통신
수요(직종13분류),02,공학·기술·생산
수요(직종13분류),09,공학·기술·생산
수요(직종13분류),10,공학·기술·생산
수요(직종13분류),12,공학·기술·생산
수요(직종13분류),04,보건·의료
수요(직종13분류),03,교육·복지·공공
수요(직종13분류),05,예술·디자인·스포츠
수요(직종13분류),08,운송·물류
수요(직종13분류),11,농림수산
수요(직종13분류),06,(대응 계열 없음)
